[2020-02-02 20:09:15 ] [com.zaxxer.hikari.HikariDataSource] [main] [110] [INFO ] HikariPool-1 - Starting...
[2020-02-02 20:09:15 ] [com.zaxxer.hikari.HikariDataSource] [main] [123] [INFO ] HikariPool-1 - Start completed.
[2020-02-02 20:09:15 ] [org.hibernate.jpa.internal.util.LogHelper] [main] [102] [DEBUG] PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: jdk.internal.loader.ClassLoaders$AppClassLoader@78308db1
	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: HikariDataSource (HikariPool-1)
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/D:/OneDrive%20-%20The%20University%20of%20Northampton/Projects/Dissertation/Code/Spring%20Demo/appdemo/target/classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		stanislaw.appdemo.user.Role
		stanislaw.appdemo.user.User]
	Mapping files names []
	Properties []
[2020-02-02 20:09:15 ] [org.hibernate.integrator.internal.IntegratorServiceImpl] [main] [46] [DEBUG] Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[2020-02-02 20:09:15 ] [org.hibernate.integrator.internal.IntegratorServiceImpl] [main] [46] [DEBUG] Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[2020-02-02 20:09:15 ] [org.hibernate.integrator.internal.IntegratorServiceImpl] [main] [46] [DEBUG] Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[2020-02-02 20:09:15 ] [org.hibernate.Version] [main] [46] [INFO ] HHH000412: Hibernate Core {5.4.9.Final}
[2020-02-02 20:09:15 ] [org.hibernate.cfg.Environment] [main] [199] [DEBUG] HHH000206: hibernate.properties not found
[2020-02-02 20:09:15 ] [org.hibernate.service.spi.ServiceBinding] [main] [68] [DEBUG] Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[2020-02-02 20:09:15 ] [org.hibernate.cache.internal.RegionFactoryInitiator] [main] [118] [DEBUG] Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[2020-02-02 20:09:15 ] [org.hibernate.cache.internal.RegionFactoryInitiator] [main] [49] [DEBUG] Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[2020-02-02 20:09:15 ] [org.hibernate.annotations.common.reflection.java.JavaReflectionManager] [main] [49] [INFO ] HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[2020-02-02 20:09:15 ] [org.hibernate.type.BasicTypeRegistry] [main] [156] [DEBUG] Adding type registration boolean -> org.hibernate.type.BooleanType@419f0ea
[2020-02-02 20:09:15 ] [org.hibernate.type.BasicTypeRegistry] [main] [156] [DEBUG] Adding type registration boolean -> org.hibernate.type.BooleanType@419f0ea
[2020-02-02 20:09:15 ] [org.hibernate.type.BasicTypeRegistry] [main] [156] [DEBUG] Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@419f0ea
[2020-02-02 20:09:15 ] [org.hibernate.type.BasicTypeRegistry] [main] [156] [DEBUG] Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@3c544c9
[2020-02-02 20:09:15 ] [org.hibernate.type.BasicTypeRegistry] [main] [156] [DEBUG] Adding type registration true_false -> org.hibernate.type.TrueFalseType@213012a0
[2020-02-02 20:09:15 ] [org.hibernate.type.BasicTypeRegistry] [main] [156] [DEBUG] Adding type registration yes_no -> org.hibernate.type.YesNoType@126a9a3d
[2020-02-02 20:09:15 ] [org.hibernate.type.BasicTypeRegistry] [main] [156] [DEBUG] Adding type registration byte -> org.hibernate.type.ByteType@1b60d324
[2020-02-02 20:09:15 ] [org.hibernate.type.BasicTypeRegistry] [main] [156] [DEBUG] Adding type registration byte -> org.hibernate.type.ByteType@1b60d324
[2020-02-02 20:09:15 ] [org.hibernate.type.BasicTypeRegistry] [main] [156] [DEBUG] Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1b60d324
[2020-02-02 20:09:15 ] [org.hibernate.type.BasicTypeRegistry] [main] [156] [DEBUG] Adding type registration character -> org.hibernate.type.CharacterType@8f4b803
[2020-02-02 20:09:15 ] [org.hibernate.type.BasicTypeRegistry] [main] [156] [DEBUG] Adding type registration char -> org.hibernate.type.CharacterType@8f4b803
[2020-02-02 20:09:15 ] [org.hibernate.type.BasicTypeRegistry] [main] [156] [DEBUG] Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@8f4b803
